,title,price,region
233,아이폰 13프로 iphone 13pro 128gb,"880,000원",대전 유성구 원내동
234,아이폰12 Iphone 64G (개인),"520,000원",경기도 용인시 처인구 역북동
235,[미개봉자급제] 아이폰14 256GB 블루 iphone14 256 blue brandnew,117만 5000원,서울 중구 을지로동
236,애플 아이폰 12 Apple iphone 12 중고 팝니다 64GB,"300,000원",서울 강북구 미아동
237,아이폰XS 아이폰10S 64GB,"180,000원",경기도 안산시 단원구 초지동
238,아이폰13프로 아이폰13PRO 128기가 무음카메라(홍콩판),124만원,경기도 성남시 분당구 서현동
239,아이폰12프로 128기가 그래파이트 S급 (iPhone 12pro 128),"670,000원",서울 마포구 망원동
240,아이폰 13이랑 —> 아이폰 12미니 or 아이폰 13미니,"200,000원",대구 달서구 용산2동
241,"아이폰 6s, 아이폰8 박스만 판매 (개별가능)","5,000원",강원도 강릉시 포남동
242,아이폰6s A급 32g 스페이스그레이 스그 아이폰,"89,000원",경기도 파주시 탄현면
243,아이폰13pro 256GB (iphone 13pro 256) 팝니다~^^,110만원,경기도 수원시 팔달구 고등동
244,아이폰 11 프로 64gb 스페이스그레이 아이폰 11 pro,"500,000원",서울 성북구 길음제1동
245,iPhone 아이폰12 미니 128GB 화이트!!!,"450,000원",경기도 성남시 분당구 수내1동
246,아이폰14프로맥스 실버 256 -> 아이폰14프로 실버 256,"184,000원",경북 경산시 계양동
247,"아이폰 13,아이폰 13pro 신지모루 2.5d 강화필름 팝니다","5,000원",대구 북구 복현2동
248,아이폰x (아이폰10) 256기가,"260,000원",경기도 수원시 영통구 매탄4동
249,[s급] 아이폰 11프로맥스 / 아이폰 11promax 256,"650,000원",서울 구로구 구로제5동
250,아이폰13프로 아이폰13PRO 128기가 무음카메라(홍콩판),124만원,서울 용산구 한남동
251,아이폰13PRO(아이폰13프로) 128G 시에라블루 풀박(애플케어+),"980,000원",서울 송파구 오륜동
252,아이폰10s 아이폰xs 64g 팝니다.,"330,000원",서울 중랑구 면목제7동
253,"아이폰10, 아이폰x 판매합니다","250,000원",인천 부평구 삼산1동
254,"아이폰11프로 256, iphone11프로 256 미드나이트 그린 팝니다.","500,000원",경기도 평택시 고덕동
255,아이폰 12 / 아이폰 12프로 강화유리 액정필름,"2,000원",경기도 하남시 위례동
256,아이폰13 아이폰13미니 카메라필름 팝니다,"2,000원",경기도 안산시 단원구 선부2동
257,아이폰 14 프로맥스 256기가 스페이스 블랙 미개봉 자급제 [ iphone 14 pro max ],183만원,서울 서초구 잠원동
258,아이폰8 iphone8 64기가,"180,000원",경기도 부천시 중동
